customer,state,response,coverage,education,employment_status,gender,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_category
79786,Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Offer1,Agent,Two-Door Car,Medsize,Corporate
44356,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Offer3,Agent,Four-Door Car,Medsize,Personal
49188,Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Offer1,Agent,Two-Door Car,Medsize,Personal
63253,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Offer1,Call Center,SUV,Medsize,Corporate
64268,Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Offer1,Agent,Four-Door Car,Medsize,Personal
83172,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Offer2,Web,Two-Door Car,Medsize,Personal
87318,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Corporate
85061,Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Offer1,Agent,Four-Door Car,Medsize,Corporate
87989,Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Corporate
94931,Oregon,No,Extended,College,Employed,F,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,Special
51350,California,No,Basic,College,Unemployed,M,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal
65197,California,No,Basic,College,Unemployed,F,Suburban,Married,Offer2,Agent,SUV,Medsize,Personal
39365,California,No,Premium,Master,Employed,M,Urban,Married,Offer2,Agent,Four-Door Car,Medsize,Corporate
95423,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Offer2,Branch,SUV,Medsize,Corporate
66569,California,No,Basic,College,Employed,M,Urban,Single,Offer4,Call Center,Four-Door Car,Medsize,Corporate
63560,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Offer2,Branch,Four-Door Car,Medsize,Corporate
94802,Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Offer2,Call Center,Two-Door Car,Medsize,Personal
15005,California,No,Basic,College,Medical Leave,M,Suburban,Married,Offer3,Call Center,SUV,Medsize,Personal
83389,Oregon,No,Basic,College,Employed,M,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,Personal
50705,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Offer1,Call Center,Four-Door Car,Small,Corporate
25313,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Offer1,Branch,Two-Door Car,Medsize,Personal
62436,Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Offer4,Call Center,Four-Door Car,Medsize,Personal
23384,Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal
98966,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Corporate
55802,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,Corporate
42516,Oregon,No,Basic,College,Employed,M,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,Personal
89481,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal
30839,Washington,No,Extended,Master,Disabled,F,Urban,Married,Offer1,Branch,SUV,Medsize,Corporate
62437,Arizona,No,Premium,College,Employed,F,Suburban,Single,Offer1,Call Center,Four-Door Car,Large,Personal
77678,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Offer2,Branch,Four-Door Car,Small,Personal
85652,Arizona,No,Basic,College,Employed,M,Suburban,Married,Offer4,Call Center,Four-Door Car,Small,Personal
64533,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Offer2,Agent,Luxury SUV,Medsize,Corporate
41800,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Offer1,Call Center,Four-Door Car,Medsize,Personal
98601,Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Offer1,Agent,Two-Door Car,Small,Corporate
67821,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Offer3,Web,Four-Door Car,Medsize,Corporate
55495,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Offer1,Branch,Four-Door Car,Medsize,Personal
38074,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Offer1,Agent,Four-Door Car,Small,Personal
79012,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Offer2,Web,Four-Door Car,Small,Personal
61827,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Offer3,Agent,Two-Door Car,Small,Personal
35801,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Offer1,Call Center,Four-Door Car,Medsize,Personal
25316,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Offer3,Call Center,Two-Door Car,Medsize,Corporate
98372,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Offer2,Agent,Two-Door Car,Medsize,Corporate
19217,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Offer2,Agent,Four-Door Car,Small,Personal
38658,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer4,Agent,Sports Car,Medsize,Personal
41343,Washington,No,Basic,College,Employed,M,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,Special
65722,Oregon,No,Premium,Doctor,Disabled,F,Rural,Married,Offer1,Branch,SUV,Medsize,Personal
27331,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Offer3,Call Center,Four-Door Car,Medsize,Personal
45289,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Offer4,Agent,Two-Door Car,Medsize,Personal
34198,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Offer2,Call Center,Four-Door Car,Medsize,Corporate
90947,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Offer4,Branch,Four-Door Car,Medsize,Personal
95729,Oregon,No,Basic,College,Employed,M,Suburban,Married,Offer1,Agent,SUV,Small,Personal
51963,California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Offer1,Web,SUV,Medsize,Corporate
69909,Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Offer4,Branch,Four-Door Car,Medsize,Special
95069,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Offer4,Agent,Four-Door Car,Medsize,Personal
46645,California,No,Premium,Bachelor,Disabled,M,Suburban,Married,Offer1,Branch,Four-Door Car,Small,Personal
17488,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Offer3,Call Center,Four-Door Car,Small,Corporate
